year,type,item_id,gender,population_1000,fully_agree,rather_agree,rather_disagree,not_at_all
2022,barrier,never_asked,all,3124.4,46.0,20.7,11.1,20.2
2022,barrier,never_thought,all,3124.4,30.1,25.6,19.5,22.6
2022,barrier,family_burden,all,3124.4,45.7,21.6,11.2,19.7
2022,barrier,illness_disability,all,3124.4,16.0,8.5,12.3,61.4
2022,barrier,financial,all,3124.4,9.8,11.6,23.6,53.1
2022,barrier,work_incompatible,all,3124.4,19.1,17.3,13.1,48.6
2022,barrier,bad_experience,all,3124.4,2.7,2.9,16.7,75.9
2022,barrier,no_contribution,all,3124.4,7.5,10.2,25.7,54.5
2022,barrier,wrong_age,all,3124.4,19.3,11.8,19.1,47.9
2022,barrier,lack_information,all,3124.4,14.6,24.8,22.2,36.4
2022,barrier,nothing_nearby,all,3124.4,21.7,23.0,20.3,32.5
2022,barrier,never_asked,men,1370.6,44.8,20.5,11.2,20.3
2022,barrier,never_thought,men,1370.6,31.0,26.6,17.4,21.8
2022,barrier,family_burden,men,1370.6,37.6,23.6,12.8,23.2
2022,barrier,illness_disability,men,1370.6,14.5,8.3,12.9,61.6
2022,barrier,financial,men,1370.6,9.1,11.5,22.8,53.7
2022,barrier,work_incompatible,men,1370.6,22.1,17.7,12.4,45.0
2022,barrier,bad_experience,men,1370.6,2.7,3.9,17.3,73.3
2022,barrier,no_contribution,men,1370.6,7.3,9.6,25.4,54.7
2022,barrier,wrong_age,men,1370.6,16.7,12.5,19.6,48.3
2022,barrier,lack_information,men,1370.6,14.0,23.7,22.4,37.1
2022,barrier,nothing_nearby,men,1370.6,22.1,21.9,19.9,32.8
2022,barrier,never_asked,women,1753.8,46.8,20.9,11.1,20.1
2022,barrier,never_thought,women,1753.8,29.4,24.8,21.2,23.2
2022,barrier,family_burden,women,1753.8,52.1,19.9,10.0,17.0
2022,barrier,illness_disability,women,1753.8,17.2,8.6,11.8,61.3
2022,barrier,financial,women,1753.8,10.4,11.6,24.3,52.6
2022,barrier,work_incompatible,women,1753.8,16.8,17.0,13.7,51.4
2022,barrier,bad_experience,women,1753.8,2.6,2.2,16.2,78.0
2022,barrier,no_contribution,women,1753.8,7.6,10.8,26.0,54.4
2022,barrier,wrong_age,women,1753.8,21.4,11.3,18.7,47.5
2022,barrier,lack_information,women,1753.8,15.0,25.6,22.1,36.0
2022,barrier,nothing_nearby,women,1753.8,21.4,24.0,20.6,32.3
2025,barrier,never_asked,all,4007.3,35.7,25.1,14.1,25.0
2025,barrier,never_thought,all,4007.3,37.4,24.3,17.2,21.1
2025,barrier,family_burden,all,4007.3,45.6,21.4,11.9,21.1
2025,barrier,illness_disability,all,4007.3,15.5,10.4,15.1,59.0
2025,barrier,financial,all,4007.3,8.6,15.1,24.2,52.1
2025,barrier,work_incompatible,all,4007.3,21.4,19.4,13.6,45.5
2025,barrier,bad_experience,all,4007.3,1.9,3.6,16.1,78.5
2025,barrier,no_contribution,all,4007.3,6.7,12.3,25.5,55.5
2025,barrier,wrong_age,all,4007.3,18.6,13.4,20.0,48.0
2025,barrier,lack_information,all,4007.3,12.2,23.1,21.9,42.8
2025,barrier,nothing_nearby,all,4007.3,22.6,23.9,21.5,32.0
2025,barrier,never_asked,men,1866.6,37.0,24.7,13.7,24.6
2025,barrier,never_thought,men,1866.6,40.7,23.7,15.7,19.9
2025,barrier,family_burden,men,1866.6,37.9,22.8,14.8,24.4
2025,barrier,illness_disability,men,1866.6,14.7,9.6,14.9,60.7
2025,barrier,financial,men,1866.6,8.3,14.5,24.6,52.6
2025,barrier,work_incompatible,men,1866.6,23.5,21.4,13.7,41.4
2025,barrier,bad_experience,men,1866.6,1.9,3.5,17.5,77.1
2025,barrier,no_contribution,men,1866.6,6.8,12.3,26.6,54.3
2025,barrier,wrong_age,men,1866.6,16.2,12.1,22.1,49.5
2025,barrier,lack_information,men,1866.6,13.5,23.4,21.3,41.8
2025,barrier,nothing_nearby,men,1866.6,24.1,22.8,21.6,31.5
2025,barrier,never_asked,women,2140.6,34.7,25.5,14.4,25.3
2025,barrier,never_thought,women,2140.6,34.8,24.8,18.3,22.0
2025,barrier,family_burden,women,2140.6,51.8,20.3,9.5,18.4
2025,barrier,illness_disability,women,2140.6,16.2,11.0,15.3,57.5
2025,barrier,financial,women,2140.6,8.8,15.6,23.9,51.8
2025,barrier,work_incompatible,women,2140.6,19.7,17.8,13.6,48.9
2025,barrier,bad_experience,women,2140.6,1.8,3.6,14.9,79.7
2025,barrier,no_contribution,women,2140.6,6.7,12.3,24.5,56.5
2025,barrier,wrong_age,women,2140.6,20.4,14.5,18.3,46.7
2025,barrier,lack_information,women,2140.6,11.2,22.8,22.3,43.6
2025,barrier,nothing_nearby,women,2140.6,21.4,24.8,21.3,32.4
2016,barrier,never_asked,all,3124.4,47.6,19.5,11.2,21.7
2016,barrier,never_thought,all,3124.4,30.4,26.9,19.9,22.7
2016,barrier,family_burden,all,3124.4,47.3,20.5,12.8,19.4
2016,barrier,illness_disability,all,3124.4,15.1,8.4,11.2,65.4
2016,barrier,financial,all,3124.4,7.7,11.8,25.6,55.0
2016,barrier,work_incompatible,all,3124.4,19.3,19.4,13.3,48.0
2016,barrier,bad_experience,all,3124.4,4.6,3.7,16.7,75.1
2016,barrier,no_contribution,all,3124.4,6.4,10.7,26.7,56.2
2016,barrier,wrong_age,all,3124.4,18.6,11.0,20.1,50.3
2016,barrier,lack_information,all,3124.4,16.3,26.0,22.8,35.0
2016,barrier,nothing_nearby,all,3124.4,21.6,24.4,19.2,34.8
2016,barrier,never_asked,men,1370.6,44.7,18.9,12.9,23.5
2016,barrier,never_thought,men,1370.6,32.0,27.1,17.3,23.7
2016,barrier,family_burden,men,1370.6,38.8,24.2,11.7,25.3
2016,barrier,illness_disability,men,1370.6,14.8,7.0,13.1,65.2
2016,barrier,financial,men,1370.6,7.1,14.1,23.5,55.3
2016,barrier,work_incompatible,men,1370.6,21.4,18.9,12.9,46.8
2016,barrier,bad_experience,men,1370.6,1.5,4.3,18.3,75.9
2016,barrier,no_contribution,men,1370.6,8.1,7.9,25.7,58.3
2016,barrier,wrong_age,men,1370.6,14.6,11.9,22.3,51.2
2016,barrier,lack_information,men,1370.6,13.5,23.6,23.6,39.3
2016,barrier,nothing_nearby,men,1370.6,25.1,22.6,20.4,32.0
2016,barrier,never_asked,women,1753.8,47.1,22.5,9.4,21.0
2016,barrier,never_thought,women,1753.8,29.0,25.4,21.1,24.6
2016,barrier,family_burden,women,1753.8,51.7,20.9,11.7,15.8
2016,barrier,illness_disability,women,1753.8,17.0,9.3,10.5,63.2
2016,barrier,financial,women,1753.8,11.3,13.6,22.1,53.0
2016,barrier,work_incompatible,women,1753.8,16.9,15.8,13.2,54.1
2016,barrier,bad_experience,women,1753.8,1.2,1.2,18.4,79.2
2016,barrier,no_contribution,women,1753.8,8.5,10.5,26.5,54.5
2016,barrier,wrong_age,women,1753.8,21.8,12.3,17.1,48.7
2016,barrier,lack_information,women,1753.8,14.2,24.9,25.1,35.8
2016,barrier,nothing_nearby,women,1753.8,21.4,23.3,22.2,33.1
2012,barrier,never_asked,all,3124.4,55.5,17.4,8.2,18.8
2012,barrier,never_thought,all,3124.4,31.3,25.6,20.6,22.5
2012,barrier,family_burden,all,3124.4,44.5,24.1,11.8,19.6
2012,barrier,illness_disability,all,3124.4,15.4,3.9,16.8,63.9
2012,barrier,financial,all,3124.4,7.9,13.7,25.0,53.4
2012,barrier,work_incompatible,all,3124.4,17.2,18.6,16.8,47.4
2012,barrier,bad_experience,all,3124.4,3.1,7.1,12.1,77.7
2012,barrier,no_contribution,all,3124.4,6.1,13.0,25.1,55.8
2012,barrier,wrong_age,all,3124.4,18.2,15.5,19.0,47.3
2012,barrier,lack_information,all,3124.4,18.8,19.8,26.9,34.4
2012,barrier,nothing_nearby,all,3124.4,25.1,24.7,18.1,32.1
2012,barrier,never_asked,men,1370.6,47.0,21.6,7.1,24.3
2012,barrier,never_thought,men,1370.6,33.9,25.5,16.6,24.0
2012,barrier,family_burden,men,1370.6,41.4,20.8,18.0,19.8
2012,barrier,illness_disability,men,1370.6,12.9,10.6,13.7,62.9
2012,barrier,financial,men,1370.6,8.3,15.3,22.4,54.0
2012,barrier,work_incompatible,men,1370.6,23.8,20.0,10.6,45.7
2012,barrier,bad_experience,men,1370.6,7.2,1.9,16.1,74.7
2012,barrier,no_contribution,men,1370.6,5.2,9.3,29.4,56.1
2012,barrier,wrong_age,men,1370.6,19.6,15.0,21.9,43.5
2012,barrier,lack_information,men,1370.6,10.8,28.2,22.5,38.5
2012,barrier,nothing_nearby,men,1370.6,26.4,21.8,19.7,32.0
2012,barrier,never_asked,women,1753.8,52.3,17.0,9.9,20.9
2012,barrier,never_thought,women,1753.8,30.8,24.3,25.9,19.0
2012,barrier,family_burden,women,1753.8,54.8,21.6,10.0,13.7
2012,barrier,illness_disability,women,1753.8,16.5,5.0,16.3,62.2
2012,barrier,financial,women,1753.8,5.5,10.3,26.1,58.0
2012,barrier,work_incompatible,women,1753.8,13.2,19.3,14.3,53.2
2012,barrier,bad_experience,women,1753.8,2.4,0.0,20.3,77.2
2012,barrier,no_contribution,women,1753.8,11.0,11.7,26.7,50.7
2012,barrier,wrong_age,women,1753.8,22.4,7.4,14.8,55.5
2012,barrier,lack_information,women,1753.8,11.6,24.0,23.1,41.3
2012,barrier,nothing_nearby,women,1753.8,22.6,23.6,24.7,29.2
2006,barrier,never_asked,all,3124.4,56.2,16.5,10.2,17.1
2006,barrier,never_thought,all,3124.4,27.6,27.2,18.5,26.6
2006,barrier,family_burden,all,3124.4,57.2,18.5,7.2,17.0
2006,barrier,illness_disability,all,3124.4,14.1,6.8,14.7,64.4
2006,barrier,financial,all,3124.4,7.6,16.1,29.6,46.7
2006,barrier,work_incompatible,all,3124.4,18.5,17.5,11.5,52.4
2006,barrier,bad_experience,all,3124.4,4.0,8.8,16.7,70.5
2006,barrier,no_contribution,all,3124.4,10.2,3.9,22.1,63.8
2006,barrier,wrong_age,all,3124.4,21.9,7.5,20.9,49.6
2006,barrier,lack_information,all,3124.4,8.3,30.0,27.7,33.9
2006,barrier,nothing_nearby,all,3124.4,21.4,20.1,19.8,38.7
2006,barrier,never_asked,men,1370.6,45.3,17.5,14.1,23.1
2006,barrier,never_thought,men,1370.6,36.3,18.8,21.4,23.6
2006,barrier,family_burden,men,1370.6,32.2,27.5,16.4,23.9
2006,barrier,illness_disability,men,1370.6,20.3,1.8,10.4,67.6
2006,barrier,financial,men,1370.6,2.7,18.0,19.1,60.2
2006,barrier,work_incompatible,men,1370.6,28.1,18.6,7.8,45.4
