year,area_id,demographic,category,count_1000,percentage
2022,disaster_rescue,all,all,428.3,22.0
2022,arts_culture,all,all,420.6,21.6
2022,environment_nature,all,all,208.9,10.7
2022,religion_church,all,all,389.2,20.0
2022,social_health,all,all,306.0,15.7
2022,politics_advocacy,all,all,233.2,12.0
2022,civic_community,all,all,281.7,14.5
2022,education,all,all,151.0,7.8
2022,sports,all,all,579.7,29.8
2022,refugee_aid,all,all,93.6,4.8
2022,disaster_rescue,gender,male,339.0,30.0
2022,arts_culture,gender,male,234.0,20.7
2022,environment_nature,gender,male,119.1,10.5
2022,religion_church,gender,male,156.5,13.8
2022,social_health,gender,male,130.3,11.5
2022,politics_advocacy,gender,male,156.9,13.9
2022,civic_community,gender,male,167.8,14.8
2022,education,gender,male,68.0,6.0
2022,sports,gender,male,400.5,35.4
2022,refugee_aid,gender,male,41.9,3.7
2022,disaster_rescue,gender,female,89.2,10.9
2022,arts_culture,gender,female,186.6,22.8
2022,environment_nature,gender,female,89.8,11.0
2022,religion_church,gender,female,232.7,28.5
2022,social_health,gender,female,175.7,21.5
2022,politics_advocacy,gender,female,76.3,9.3
2022,civic_community,gender,female,113.9,13.9
2022,education,gender,female,83.0,10.2
2022,sports,gender,female,179.2,21.9
2022,refugee_aid,gender,female,51.7,6.3
2025,disaster_rescue,all,all,434.5,23.342645320726334
2025,arts_culture,all,all,399.6,21.467712474481573
2025,environment_nature,all,all,176.1,9.46062103792844
2025,religion_church,all,all,329.9,17.723219082411088
2025,social_health,all,all,269.3,14.467605028473193
2025,politics_advocacy,all,all,187.3,10.062318684860855
2025,civic_community,all,all,220.0,11.81906092188675
2025,education,all,all,189.9,10.201998495755882
2025,sports,all,all,516.5,27.747931664338672
2025,other_area,all,all,93.6,5.0284731922209085
2025,disaster_rescue,gender,male,330.1,30.94300712410949
2025,arts_culture,gender,male,195.1,18.28833895763029
2025,environment_nature,gender,male,96.8,9.073865766779154
2025,religion_church,gender,male,140.3,13.151481064866893
2025,social_health,gender,male,97.0,9.092613423322083
2025,politics_advocacy,gender,male,130.9,12.270341207349082
2025,civic_community,gender,male,122.1,11.445444319460067
2025,education,gender,male,68.3,6.402324709411324
2025,sports,gender,male,346.4,32.470941132358455
2025,other_area,gender,male,54.0,5.061867266591676
2025,disaster_rescue,gender,female,104.3,13.12610118298515
2025,arts_culture,gender,female,204.5,25.73621948150013
2025,environment_nature,gender,female,79.3,9.97986408255726
2025,religion_church,gender,female,189.7,23.87364711804681
2025,social_health,gender,female,172.3,21.683866096149007
2025,politics_advocacy,gender,female,56.4,7.097910898565315
2025,civic_community,gender,female,98.0,12.333249433677322
2025,education,gender,female,121.6,15.303297256481246
2025,sports,gender,female,170.1,21.40699723131135
2025,other_area,gender,female,39.6,4.983639567077775
2006,disaster_rescue,all,all,268.8,
2006,arts_culture,all,all,263.9,
2006,environment_nature,all,all,131.1,
2006,religion_church,all,all,244.2,
2006,social_health,all,all,192.0,
2006,politics_advocacy,all,all,146.3,
2006,civic_community,all,all,176.8,
2006,education,all,all,94.8,
2006,sports,all,all,363.8,
2006,refugee_aid,all,all,58.7,
2006,disaster_rescue,gender,male,361.8,
2006,arts_culture,gender,male,249.7,
2006,environment_nature,gender,male,127.1,
2006,religion_church,gender,male,167.0,
2006,social_health,gender,male,139.1,
2006,politics_advocacy,gender,male,167.5,
2006,civic_community,gender,male,179.1,
2006,education,gender,male,72.6,
2006,sports,gender,male,427.5,
2006,refugee_aid,gender,male,44.7,
2006,disaster_rescue,gender,female,88.8,
2006,arts_culture,gender,female,185.9,
2006,environment_nature,gender,female,89.4,
2006,religion_church,gender,female,231.8,
2006,social_health,gender,female,175.0,
2006,politics_advocacy,gender,female,76.0,
2006,civic_community,gender,female,113.4,
2006,education,gender,female,82.7,
2006,sports,gender,female,178.5,
2006,refugee_aid,gender,female,51.5,
2006,disaster_rescue,age_group,40-59,158.2,
2006,arts_culture,age_group,40-59,171.9,
2006,environment_nature,age_group,40-59,84.3,
2006,religion_church,age_group,40-59,168.4,
2006,social_health,age_group,40-59,125.9,
2006,politics_advocacy,age_group,40-59,112.0,
2006,civic_community,age_group,40-59,135.1,
2006,education,age_group,40-59,59.2,
2006,sports,age_group,40-59,264.7,
2006,refugee_aid,age_group,40-59,38.0,
2006,disaster_rescue,age_group,<40,173.7,
2006,arts_culture,age_group,<40,140.0,
2006,environment_nature,age_group,<40,63.1,
2006,religion_church,age_group,<40,96.8,
2006,social_health,age_group,<40,81.5,
2006,politics_advocacy,age_group,<40,64.5,
2006,civic_community,age_group,<40,74.4,
2006,education,age_group,<40,49.4,
2006,sports,age_group,<40,198.7,
2006,refugee_aid,age_group,<40,27.1,
2006,disaster_rescue,age_group,>=60,83.1,
2006,arts_culture,age_group,>=60,100.4,
2006,environment_nature,age_group,>=60,57.7,
2006,religion_church,age_group,>=60,120.3,
2006,social_health,age_group,>=60,94.2,
2006,politics_advocacy,age_group,>=60,55.4,
2006,civic_community,age_group,>=60,70.5,
2006,education,age_group,>=60,39.3,
2006,sports,age_group,>=60,107.7,
2006,refugee_aid,age_group,>=60,27.0,
2006,disaster_rescue,education,(at least) Matura,138.9,
2006,arts_culture,education,(at least) Matura,220.1,
2006,environment_nature,education,(at least) Matura,95.6,
2006,religion_church,education,(at least) Matura,188.2,
2006,social_health,education,(at least) Matura,146.2,
2006,politics_advocacy,education,(at least) Matura,107.2,
2006,civic_community,education,(at least) Matura,117.4,
2006,education,education,(at least) Matura,111.4,
