year,region,total_pop,perc_volunteers_from_pop,perc_formal_from_pop,perc_informal_from_pop,total_volunteers,avg_hours_vlntrs,avg_hours_formal,avg_hours_informal,median_hours_vlntrs,median_hours_formal,median_hours_informal,25_hrs_vlntrs,75_hrs_vlntrs,25_hrs_formal,75_hrs_formal,25_hrs_informal,75_hrs_informal
2006,Austria,7200,44.0,28.0,27.0,3168.0,6.11,4.29,5.31,2.57,1.78,1.92,0.69,7.13,0.45,4.45,0.43,6.23
2006,Burgenland,243,41.42,26.59,24.72,100.65,5.4,2.88,5.46,2.37,1.64,2.05,0.69,7.06,0.44,3.12,0.52,7.54
2006,Carinthia,459,44.62,26.59,28.32,204.81,5.96,4.17,5.21,2.53,1.78,2.08,0.89,7.06,0.62,4.45,0.52,7.06
2006,Lower Austria,1368,46.85,30.28,27.66,640.91,6.63,4.36,6.1,2.33,1.55,2.04,0.69,8.43,0.42,4.39,0.43,7.74
2006,Upper Austria,1198,45.51,33.64,27.0,545.21,6.47,4.69,5.17,2.67,1.67,1.81,0.73,7.12,0.43,4.99,0.42,5.34
2006,Salzburg,449,47.92,32.34,28.03,215.16,6.67,5.45,5.16,3.15,2.2,2.49,0.83,8.31,0.62,6.23,0.46,7.13
2006,Styria,1015,43.38,27.67,26.34,440.31,5.92,3.94,5.34,2.7,1.8,2.25,0.86,7.13,0.52,4.45,0.62,6.24
2006,Tyrol,611,48.54,36.03,29.28,296.58,5.86,3.78,5.01,2.67,1.78,1.78,0.65,7.2,0.42,4.81,0.42,6.23
2006,Vorarlberg,317,47.3,32.23,27.51,149.94,5.97,3.39,5.79,2.73,1.51,2.67,0.83,6.83,0.42,3.71,0.83,6.59
2006,Vienna,1540,37.05,17.04,25.46,570.57,5.58,4.49,4.57,2.08,1.67,1.51,0.52,6.21,0.55,3.87,0.42,5.19
2012,Austria,7331,46.0,28.0,31.0,3372.26,6.39,4.49,5.55,2.69,1.86,2.01,0.72,7.45,0.47,4.66,0.45,6.52
2012,Burgenland,247,43.3,26.59,28.38,106.95,5.64,3.01,5.71,2.48,1.71,2.14,0.73,7.38,0.46,3.26,0.54,7.89
