year,area_id,demographic,category,count_1000,percentage
2006,household_tasks,all,all,430.1,13.57
2006,repairs_crafts,all,all,411.6,12.98
2006,visit_services,all,all,404.9,12.77
2006,care_dependent,all,all,203.5,6.42
2006,transport_services,all,all,385.5,12.16
2006,garden_support,all,all,322.7,10.18
2006,disaster_aid,all,all,157.0,4.95
2006,admin_paperwork,all,all,226.7,7.15
2006,tutoring,all,all,114.7,3.62
2006,childcare,all,all,340.3,10.73
2006,refugee_support,all,all,58.9,1.86
2006,other_informal,all,all,114.5,3.61
2006,household_tasks,gender,male,437.3,13.79
2006,repairs_crafts,gender,male,817.0,25.77
2006,visit_services,gender,male,371.8,11.73
2006,care_dependent,gender,male,181.7,5.73
2006,transport_services,gender,male,416.9,13.15
2006,garden_support,gender,male,462.4,14.59
2006,disaster_aid,gender,male,275.3,8.68
2006,admin_paperwork,gender,male,255.1,8.05
2006,tutoring,gender,male,117.4,3.70
2006,childcare,gender,male,273.0,8.61
2006,refugee_support,gender,male,66.3,2.09
2006,other_informal,gender,male,147.0,4.64
2006,household_tasks,gender,female,484.7,15.29
2006,repairs_crafts,gender,female,135.0,4.26
2006,visit_services,gender,female,489.0,15.42
2006,care_dependent,gender,female,250.0,7.89
2006,transport_services,gender,female,413.7,13.05
2006,garden_support,gender,female,252.7,7.97
2006,disaster_aid,gender,female,81.4,2.57
2006,admin_paperwork,gender,female,235.1,7.42
2006,tutoring,gender,female,128.6,4.06
2006,childcare,gender,female,443.7,14.00
2006,refugee_support,gender,female,61.1,1.93
2006,other_informal,gender,female,103.6,3.27
2006,household_tasks,age_group,<40,326.8,10.31
2006,repairs_crafts,age_group,<40,336.1,10.60
2006,visit_services,age_group,<40,228.7,7.21
2006,care_dependent,age_group,<40,94.8,2.99
2006,transport_services,age_group,<40,240.5,7.59
2006,garden_support,age_group,<40,245.7,7.75
2006,disaster_aid,age_group,<40,103.4,3.26
2006,admin_paperwork,age_group,<40,122.8,3.87
2006,tutoring,age_group,<40,123.1,3.88
2006,childcare,age_group,<40,235.6,7.43
2006,refugee_support,age_group,<40,36.4,1.15
2006,other_informal,age_group,<40,93.1,2.94
2006,household_tasks,age_group,40-59,405.5,12.79
2006,repairs_crafts,age_group,40-59,384.8,12.14
2006,visit_services,age_group,40-59,417.4,13.17
2006,care_dependent,age_group,40-59,239.0,7.54
2006,transport_services,age_group,40-59,423.7,13.37
2006,garden_support,age_group,40-59,325.7,10.27
2006,disaster_aid,age_group,40-59,174.8,5.51
2006,admin_paperwork,age_group,40-59,267.4,8.43
2006,tutoring,age_group,40-59,75.8,2.39
2006,childcare,age_group,40-59,286.4,9.03
2006,refugee_support,age_group,40-59,64.3,2.03
2006,other_informal,age_group,40-59,94.0,2.97
2006,household_tasks,age_group,>=60,208.2,6.57
