year,type,item_id,gender,population_1000,fully_agree,rather_agree,rather_disagree,not_at_all
2022,motivation,enjoy_work,all,3728.5,58.7,33.1,4.7,3.1
2022,motivation,common_good,all,3728.5,46.8,37.2,9.7,5.8
2022,motivation,help_others,all,3728.5,61.6,31.3,4.3,2.3
2022,motivation,career_benefit,all,3728.5,5.8,9.8,22.1,61.9
2022,motivation,use_skills,all,3728.5,35.5,39.9,12.5,11.9
2022,motivation,social_connection,all,3728.5,31.3,35.5,19.1,13.8
2022,motivation,social_recognition,all,3728.5,17.5,32.4,27.2,22.5
2022,motivation,stay_active,all,3728.5,31.5,35.7,18.4,14.1
2022,motivation,share_experience,all,3728.5,33.1,41.4,14.7,10.3
2022,motivation,learning,all,3728.5,21.7,29.0,26.3,22.8
2022,motivation,find_job,all,3728.5,2.2,3.3,13.7,80.5
2022,motivation,reciprocity,all,3728.5,33.0,36.8,16.0,13.9
2022,motivation,important_cause,all,3728.5,30.7,38.2,18.0,12.6
2022,motivation,enjoy_work,men,1938.4,55.2,35.4,5.1,3.9
2022,motivation,common_good,men,1938.4,44.0,38.2,11.1,5.9
2022,motivation,help_others,men,1938.4,56.3,34.6,5.5,2.9
2022,motivation,career_benefit,men,1938.4,5.1,10.2,24.6,59.7
2022,motivation,use_skills,men,1938.4,36.2,42.3,11.4,9.7
2022,motivation,social_connection,men,1938.4,30.9,38.0,18.0,12.8
2022,motivation,social_recognition,men,1938.4,18.8,35.9,25.0,19.8
2022,motivation,stay_active,men,1938.4,32.4,38.0,17.0,12.0
2022,motivation,share_experience,men,1938.4,33.0,44.7,13.6,8.1
2022,motivation,learning,men,1938.4,22.3,32.3,25.8,19.2
2022,motivation,find_job,men,1938.4,2.3,3.6,14.2,79.5
2022,motivation,reciprocity,men,1938.4,30.5,37.4,17.0,14.8
2022,motivation,important_cause,men,1938.4,29.3,38.6,19.1,12.5
2022,motivation,enjoy_work,women,1790.1,62.4,30.7,4.2,2.1
2022,motivation,common_good,women,1790.1,49.8,36.0,8.1,5.7
2022,motivation,help_others,women,1790.1,67.4,27.8,3.0,1.7
2022,motivation,career_benefit,women,1790.1,6.6,9.5,19.5,64.2
2022,motivation,use_skills,women,1790.1,34.7,37.3,13.6,14.2
2022,motivation,social_connection,women,1790.1,31.7,32.8,20.3,14.9
2022,motivation,social_recognition,women,1790.1,16.2,28.5,29.5,25.5
2022,motivation,stay_active,women,1790.1,30.5,33.2,19.9,16.3
2022,motivation,share_experience,women,1790.1,33.2,37.8,15.9,12.8
2022,motivation,learning,women,1790.1,21.0,25.4,26.7,26.6
2022,motivation,find_job,women,1790.1,2.2,2.9,13.2,81.5
2022,motivation,reciprocity,women,1790.1,35.6,36.3,14.9,12.9
2022,motivation,important_cause,women,1790.1,32.3,37.8,16.8,12.7
2025,motivation,enjoy_work,all,3725.6,58.4,33.2,5.5,2.8
2025,motivation,common_good,all,3725.6,48.0,37.5,8.9,5.5
2025,motivation,help_others,all,3725.6,64.4,28.7,4.3,2.6
2025,motivation,career_benefit,all,3725.6,6.7,10.0,22.2,61.1
2025,motivation,use_skills,all,3725.6,35.3,39.0,12.1,13.7
2025,motivation,social_connection,all,3725.6,30.5,32.8,20.1,16.6
2025,motivation,social_recognition,all,3725.6,19.5,30.8,26.2,23.5
2025,motivation,stay_active,all,3725.6,31.8,36.6,16.4,15.2
2025,motivation,share_experience,all,3725.6,33.1,39.9,15.0,12.0
2025,motivation,learning,all,3725.6,21.8,28.5,24.7,25.0
2025,motivation,find_job,all,3725.6,2.1,3.3,13.1,81.5
2025,motivation,reciprocity,all,3725.6,38.7,34.7,14.2,12.4
2025,motivation,enjoy_work,men,1918.7,56.6,34.8,5.8,2.8
2025,motivation,common_good,men,1918.7,45.9,39.2,9.4,5.4
2025,motivation,help_others,men,1918.7,60.5,31.3,5.3,2.8
2025,motivation,career_benefit,men,1918.7,6.8,10.4,24.0,58.9
2025,motivation,use_skills,men,1918.7,36.5,39.6,11.4,12.5
2025,motivation,social_connection,men,1918.7,30.6,34.7,19.1,15.6
2025,motivation,social_recognition,men,1918.7,20.9,32.9,25.2,21.0
2025,motivation,stay_active,men,1918.7,32.9,37.3,15.6,14.2
2025,motivation,share_experience,men,1918.7,34.8,40.4,14.4,10.4
2025,motivation,learning,men,1918.7,23.6,29.6,24.3,22.5
2025,motivation,find_job,men,1918.7,2.2,3.5,13.7,80.7
2025,motivation,reciprocity,men,1918.7,36.3,35.7,14.9,13.0
2025,motivation,enjoy_work,women,1806.8,60.4,31.4,5.2,2.9
2025,motivation,common_good,women,1806.8,50.3,35.7,8.4,5.6
2025,motivation,help_others,women,1806.8,68.4,26.0,3.2,2.4
2025,motivation,career_benefit,women,1806.8,6.6,9.6,20.3,63.6
2025,motivation,use_skills,women,1806.8,34.0,38.4,12.8,14.9
2025,motivation,social_connection,women,1806.8,30.4,30.7,21.2,17.7
2025,motivation,social_recognition,women,1806.8,18.1,28.5,27.3,26.1
2025,motivation,stay_active,women,1806.8,30.6,35.8,17.3,16.3
2025,motivation,share_experience,women,1806.8,31.4,39.3,15.7,13.7
2025,motivation,learning,women,1806.8,19.9,27.3,25.1,27.7
2025,motivation,find_job,women,1806.8,2.1,3.1,12.5,82.4
2025,motivation,reciprocity,women,1806.8,41.2,33.6,13.5,11.8
2016,motivation,enjoy_work,all,3728.5,58.3,34.0,3.1,4.5
2016,motivation,common_good,all,3728.5,46.6,38.5,10.7,4.2
2016,motivation,help_others,all,3728.5,59.6,30.6,5.4,4.4
2016,motivation,career_benefit,all,3728.5,7.2,11.3,23.6,57.9
2016,motivation,use_skills,all,3728.5,35.4,40.7,13.5,10.3
2016,motivation,social_connection,all,3728.5,34.4,36.1,17.7,11.8
2016,motivation,social_recognition,all,3728.5,19.2,34.7,25.6,20.5
2016,motivation,stay_active,all,3728.5,33.0,33.8,19.9,13.2
2016,motivation,share_experience,all,3728.5,34.8,42.6,13.8,8.8
2016,motivation,learning,all,3728.5,19.9,29.5,26.0,24.6
2016,motivation,find_job,all,3728.5,0.0,3.2,14.1,82.7
2016,motivation,reciprocity,all,3728.5,33.1,37.4,14.5,15.0
2016,motivation,important_cause,all,3728.5,33.1,36.5,19.0,11.5
2016,motivation,enjoy_work,men,1790.1,53.0,36.0,5.4,5.6
2016,motivation,common_good,men,1790.1,44.9,35.9,12.3,6.9
2016,motivation,help_others,men,1790.1,56.8,32.8,7.3,3.2
2016,motivation,career_benefit,men,1790.1,4.1,10.7,25.1,60.1
2016,motivation,use_skills,men,1790.1,37.2,43.2,12.4,7.2
2016,motivation,social_connection,men,1790.1,29.8,37.2,20.7,12.3
2016,motivation,social_recognition,men,1790.1,20.4,36.0,24.8,18.8
2016,motivation,stay_active,men,1790.1,30.0,39.2,16.7,14.1
2016,motivation,share_experience,men,1790.1,32.1,46.8,15.2,5.9
2016,motivation,learning,men,1790.1,24.1,32.6,23.7,19.7
2016,motivation,find_job,men,1790.1,2.8,4.6,13.8,78.7
2016,motivation,reciprocity,men,1790.1,29.8,38.1,16.0,16.1
2016,motivation,important_cause,men,1790.1,29.5,37.6,21.3,11.6
2016,motivation,enjoy_work,women,1790.1,64.1,31.1,2.0,2.8
2016,motivation,common_good,women,1790.1,48.6,34.8,9.3,7.3
2016,motivation,help_others,women,1790.1,70.8,27.3,1.7,0.2
2016,motivation,career_benefit,women,1790.1,5.5,8.3,21.6,64.6
2016,motivation,use_skills,women,1790.1,34.7,40.5,12.6,12.2
2016,motivation,social_connection,women,1790.1,30.3,34.0,18.3,17.3
2016,motivation,social_recognition,women,1790.1,17.7,27.1,31.0,24.2
2016,motivation,stay_active,women,1790.1,31.5,32.4,19.4,16.8
2016,motivation,share_experience,women,1790.1,33.3,37.9,14.0,14.9
2016,motivation,learning,women,1790.1,21.1,26.5,27.2,25.3
2016,motivation,find_job,women,1790.1,0.3,1.1,13.9,84.7
2016,motivation,reciprocity,women,1790.1,36.5,34.8,17.1,11.6
2016,motivation,important_cause,women,1790.1,33.2,37.1,16.7,13.0
2012,motivation,enjoy_work,all,3728.5,62.4,36.8,0.2,0.7
