year,demographic,category,vol_type,count_1000,avg_hours,p25,p50,p75
2022,gender,male,Total,1825.9,6.69,0.7,2.72,7.7
2022,gender,male,Formal,1040.5,5.23,0.7,2.02,5.7
2022,gender,male,Informal,1292.9,5.23,0.38,1.71,5.83
2022,gender,female,Total,1682.3,7.1,0.93,3.0,8.47
2022,gender,female,Formal,738.6,4.23,0.47,1.47,4.0
2022,gender,female,Informal,1322.3,6.67,0.7,2.99,8.0
2022,education,compulsory_max,Total,6.51,0.51,2.02,7.0,
2022,education,compulsory_max,Formal,4.61,0.47,1.87,5.0,
2022,education,compulsory_max,Informal,6.13,0.47,2.0,6.0,
2022,education,apprenticeship_voc,Total,7.14,0.73,3.0,8.5,
2022,education,apprenticeship_voc,Formal,4.89,0.47,2.0,5.4,
2022,education,apprenticeship_voc,Informal,6.29,0.47,2.34,7.42,
2022,education,matura,Total,7.18,0.79,3.0,8.19,
2022,education,matura,Formal,5.03,0.58,2.0,5.0,
2022,education,matura,Informal,6.13,0.49,2.1,7.0,
2022,education,university,Total,6.33,0.93,2.82,7.62,
2022,education,university,Formal,4.6,0.7,2.0,4.67,
2022,education,university,Informal,5.05,0.5,2.0,6.0,
2022,migration,second_generation,Total,5.91,0.51,2.02,6.0,
2022,migration,second_generation,Formal,4.75,0.52,2.02,5.83,
2022,migration,second_generation,Informal,5.16,0.35,1.4,4.8,
2022,migration,no_migration,Total,7.09,0.82,3.0,8.51,
2022,migration,no_migration,Formal,4.83,0.5,2.0,5.0,
2022,migration,no_migration,Informal,6.14,0.52,2.39,7.54,
2022,employment,employed,Total,6.36,0.77,2.8,7.4,
2022,employment,employed,Formal,4.67,0.58,2.0,5.0,
2022,employment,employed,Informal,5.28,0.47,2.0,6.0,
2022,employment,retired,Total,8.18,0.93,3.5,10.0,
2022,employment,retired,Formal,5.44,0.5,2.0,5.0,
2022,employment,retired,Informal,7.27,0.7,3.0,10.0,
2022,employment,other_employment,Total,6.99,0.7,2.8,7.54,
2022,employment,other_employment,Formal,4.58,0.47,1.63,5.0,
2022,employment,other_employment,Informal,6.38,0.48,2.02,6.97,
2022,municipality,Gemeinden <=2 500 Einw.,Total,7.15,0.85,3.0,8.17,
2022,municipality,Gemeinden <=2 500 Einw.,Formal,4.35,0.47,1.87,4.82,
2022,municipality,Gemeinden <=2 500 Einw.,Informal,6.45,0.47,2.29,7.0,
2022,municipality,Gemeinden <=10 000 Einw.,Total,7.17,0.82,3.0,9.23,
2022,municipality,Gemeinden <=10 000 Einw.,Formal,5.09,0.52,2.0,5.6,
2022,municipality,Gemeinden <=10 000 Einw.,Informal,6.18,0.64,2.41,8.0,
2022,municipality,Gemeinden <=100 000 Einw.,Total,7.02,0.78,3.0,7.7,
2022,municipality,Gemeinden <=100 000 Einw.,Formal,4.93,0.5,2.0,5.0,
2022,municipality,Gemeinden <=100 000 Einw.,Informal,6.31,0.56,2.33,7.59,
2022,municipality,Gemeinden >100 000 Einw.,Total,6.27,0.7,2.57,7.15,
2022,municipality,Gemeinden >100 000 Einw.,Formal,4.95,0.7,1.94,5.0,
2022,municipality,Gemeinden >100 000 Einw.,Informal,5.22,0.47,1.87,5.87,
2022,region,all,Total,6.89,0.77,2.89,8.0,
2022,region,all,Formal,4.82,0.5,2.0,5.0,
2022,region,all,Informal,5.96,0.48,2.16,7.0,
2022,region,burgenland,Total,6.06,0.78,2.66,7.93,
2022,region,burgenland,Formal,3.23,0.49,1.84,3.5,
2022,region,burgenland,Informal,6.13,0.58,2.3,8.47,
2022,region,kaernten,Total,6.69,1.0,2.84,7.93,
2022,region,kaernten,Formal,4.68,0.7,2.0,5.0,
2022,region,kaernten,Informal,5.85,0.58,2.33,7.93,
2022,region,niederoesterreich,Total,7.44,0.77,2.62,9.47,
2022,region,niederoesterreich,Formal,4.89,0.47,1.87,4.93,
2022,region,niederoesterreich,Informal,6.85,0.48,2.29,8.69,
2022,region,oberoesterreich,Total,7.27,0.82,3.0,8.0,
2022,region,oberoesterreich,Formal,5.27,0.48,1.87,5.6,
2022,region,oberoesterreich,Informal,5.8,0.47,2.03,6.0,
2022,region,salzburg,Total,7.49,0.93,3.54,9.33,
2022,region,salzburg,Formal,6.12,0.7,2.47,7.0,
2022,region,salzburg,Informal,5.79,0.52,2.8,8.0,
2022,region,steiermark,Total,6.65,0.96,3.03,8.0,
2022,region,steiermark,Formal,4.42,0.58,2.02,5.0,
2022,region,steiermark,Informal,5.99,0.7,2.53,7.0,
2022,region,tirol,Total,6.58,0.73,3.0,8.08,
2022,region,tirol,Formal,4.24,0.47,2.0,5.4,
2022,region,tirol,Informal,5.62,0.47,2.0,7.0,
2022,region,vorarlberg,Total,6.7,0.93,3.06,7.67,
2022,region,vorarlberg,Formal,3.81,0.47,1.7,4.17,
2022,region,vorarlberg,Informal,6.5,0.93,3.0,7.4,
2022,region,wien,Total,6.27,0.58,2.33,6.97,
2022,region,wien,Formal,5.04,0.62,1.87,4.35,
2022,region,wien,Informal,5.31,0.47,1.7,5.83,
2025,gender,all,Total,1918.7,5.46,0.69,2.5,6.83
2025,gender,all,Formal,1066.8,3.47,0.69,1.85,4.62
2025,gender,all,Informal,1486.5,4.56,0.46,1.69,5.23
2025,gender,female,Total,1806.8,6.28,0.87,2.77,7.62
2025,gender,female,Formal,794.6,2.97,0.48,1.38,3.23
2025,gender,female,Informal,1507.2,5.97,0.69,2.31,7.63
2025,education,all,Total,5.14,0.58,2.17,6.46,
2025,education,all,Formal,3.23,0.46,1.54,3.46,
2025,education,all,Informal,4.77,0.46,1.85,6.0,
2025,education,apprenticeship_voc,Total,6.21,0.85,2.77,7.62,
2025,education,apprenticeship_voc,Formal,3.49,0.69,1.85,4.62,
2025,education,apprenticeship_voc,Informal,5.66,0.58,2.31,6.92,
2025,education,matura,Total,5.96,0.96,2.83,6.92,
2025,education,matura,Formal,3.25,0.69,1.85,3.69,
2025,education,matura,Informal,5.3,0.67,2.23,5.96,
2025,education,university,Total,5.56,0.74,2.31,6.71,
