year,demographic,category,vol_type,population_1000,count_1000,percentage
1988,total,total,any,5281.9,2592.6,35.2
1988,total,total,formal,5281.9,1369.5,17.8
1988,total,total,informal,5281.9,1925.1,25.9
1988,total,total,both_formal_informal,5281.9,707.3,19.1
1988,total,total,formal_only,5281.9,680.2,17.7
1988,total,total,informal_only,5281.9,1232.8,32.8
1988,gender,men,any,2538.4,1334.3,37.0
1988,gender,men,formal,2538.4,792.3,21.3
1988,gender,men,informal,2538.4,961.1,26.7
1988,gender,men,both_formal_informal,2538.4,391.9,20.9
1988,gender,men,formal_only,2538.4,397.7,19.7
1988,gender,men,informal_only,2538.4,564.9,28.9
1988,gender,women,any,2716.5,1269.5,32.6
1988,gender,women,formal,2716.5,573.1,15.1
1988,gender,women,informal,2716.5,967.6,24.9
1988,gender,women,both_formal_informal,2716.5,291.9,16.4
1988,gender,women,formal_only,2716.5,269.5,15.3
1988,gender,women,informal_only,2716.5,698.7,37.2
1988,age,30–39,any,904.4,469.4,35.8
1988,age,30–39,formal,904.4,229.3,18.0
1988,age,30–39,informal,904.4,355.1,27.2
1988,age,30–39,both_formal_informal,904.4,107.1,16.9
1988,age,30–39,formal_only,904.4,118.7,17.9
1988,age,30–39,informal_only,904.4,230.3,34.9
1988,age,40–49,any,858.8,442.1,37.9
1988,age,40–49,formal,858.8,246.7,20.6
1988,age,40–49,informal,858.8,336.1,28.6
1988,age,40–49,both_formal_informal,858.8,138.0,21.1
1988,age,40–49,formal_only,858.8,112.6,17.2
1988,age,40–49,informal_only,858.8,200.4,31.5
1988,age,50–59,any,958.7,535.1,38.5
1988,age,50–59,formal,958.7,278.5,20.1
1988,age,50–59,informal,958.7,404.4,29.6
1988,age,50–59,both_formal_informal,958.7,151.0,19.8
1988,age,50–59,formal_only,958.7,128.7,17.4
1988,age,50–59,informal_only,958.7,253.4,33.2
1988,age,60–69,any,769.0,400.0,35.7
1988,age,60–69,formal,769.0,189.1,17.6
1988,age,60–69,informal,769.0,312.8,28.3
1988,age,60–69,both_formal_informal,769.0,109.1,19.0
1988,age,60–69,formal_only,769.0,81.8,14.8
1988,age,60–69,informal_only,769.0,205.0,36.7
1988,age,70–79,any,481.8,197.0,29.3
1988,age,70–79,formal,481.8,114.0,16.0
1988,age,70–79,informal,481.8,149.7,21.3
1988,age,70–79,both_formal_informal,481.8,58.0,20.5
1988,age,70–79,formal_only,481.8,56.3,18.9
1988,age,70–79,informal_only,481.8,88.7,29.6
1988,age,>80,any,348.8,87.4,17.2
1988,age,>80,formal,348.8,42.3,9.0
1988,age,>80,informal,348.8,58.1,12.6
1988,age,>80,both_formal_informal,348.8,16.4,13.5
1988,age,>80,formal_only,348.8,26.9,21.4
1988,age,>80,informal_only,348.8,43.4,34.8
1988,age,<30,any,977.6,493.8,35.5
1988,age,<30,formal,977.6,259.5,18.8
1988,age,<30,informal,977.6,335.9,23.4
1988,age,<30,both_formal_informal,977.6,113.9,16.5
1988,age,<30,formal_only,977.6,149.6,20.7
1988,age,<30,informal_only,977.6,227.6,32.2
1988,education,(max.) Compulsory education,any,1126.4,353.1,22.0
1988,education,(max.) Compulsory education,formal,1126.4,156.1,9.5
1988,education,(max.) Compulsory education,informal,1126.4,260.7,16.9
1988,education,(max.) Compulsory education,both_formal_informal,1126.4,67.9,13.3
1988,education,(max.) Compulsory education,formal_only,1126.4,87.8,17.3
1988,education,(max.) Compulsory education,informal_only,1126.4,194.3,38.7
1988,education,matura,any,879.8,516.2,40.3
1988,education,matura,formal,879.8,271.5,21.4
1988,education,matura,informal,879.8,363.9,29.0
1988,education,matura,both_formal_informal,879.8,139.7,19.3
1988,education,matura,formal_only,879.8,130.3,18.3
1988,education,matura,informal_only,879.8,226.0,31.7
1988,education,"teaching, BMS",any,2396.8,1198.1,34.2
1988,education,"teaching, BMS",formal,2396.8,616.3,17.7
1988,education,"teaching, BMS",informal,2396.8,883.7,26.1
1988,education,"teaching, BMS",both_formal_informal,2396.8,304.3,18.0
1988,education,"teaching, BMS",formal_only,2396.8,305.3,17.9
1988,education,"teaching, BMS",informal_only,2396.8,564.5,35.0
1988,education,university,any,853.7,564.1,46.2
1988,education,university,formal,853.7,338.3,26.9
1988,education,university,informal,853.7,431.6,33.6
1988,education,university,both_formal_informal,853.7,179.1,21.7
1988,education,university,formal_only,853.7,153.3,18.6
1988,education,university,informal_only,853.7,247.9,29.4
1988,citizenship,Austria,any,4392.0,2278.4,35.9
1988,citizenship,Austria,formal,4392.0,1252.4,19.5
1988,citizenship,Austria,informal,4392.0,1706.4,27.1
1988,citizenship,Austria,both_formal_informal,4392.0,632.1,19.1
1988,citizenship,Austria,formal_only,4392.0,598.6,18.6
1988,citizenship,Austria,informal_only,4392.0,1029.6,31.8
1988,citizenship,not Austria,any,874.8,319.5,25.1
1988,citizenship,not Austria,formal,874.8,132.3,10.6
1988,citizenship,not Austria,informal,874.8,251.1,19.9
1988,citizenship,not Austria,both_formal_informal,874.8,70.8,15.3
1988,citizenship,not Austria,formal_only,874.8,63.7,14.3
1988,citizenship,not Austria,informal_only,874.8,182.1,41.8
1988,birth_country,Austria,any,4176.4,2128.1,37.0
1988,birth_country,Austria,formal,4176.4,1162.1,20.7
1988,birth_country,Austria,informal,4176.4,1617.0,27.3
1988,birth_country,Austria,both_formal_informal,4176.4,613.0,19.3
1988,birth_country,Austria,formal_only,4176.4,570.2,18.9
1988,birth_country,Austria,informal_only,4176.4,993.2,31.5
1988,birth_country,not Austria,any,1147.8,429.4,25.4
1988,birth_country,not Austria,formal,1147.8,178.5,10.8
1988,birth_country,not Austria,informal,1147.8,340.2,20.8
1988,birth_country,not Austria,both_formal_informal,1147.8,89.0,15.3
1988,birth_country,not Austria,formal_only,1147.8,86.0,14.4
1988,birth_country,not Austria,informal_only,1147.8,249.4,39.5
1988,migration,1. Generation,any,1104.1,375.2,25.4
1988,migration,1. Generation,formal,1104.1,160.8,10.4
1988,migration,1. Generation,informal,1104.1,309.4,19.8
1988,migration,1. Generation,both_formal_informal,1104.1,78.2,14.2
1988,migration,1. Generation,formal_only,1104.1,79.0,14.3
1988,migration,1. Generation,informal_only,1104.1,224.6,40.4
1988,migration,2. Generation,any,230.0,83.0,25.8
1988,migration,2. Generation,formal,230.0,29.2,8.7
1988,migration,2. Generation,informal,230.0,65.7,20.6
1988,migration,2. Generation,both_formal_informal,230.0,11.7,9.7
1988,migration,2. Generation,formal_only,230.0,17.5,14.1
1988,migration,2. Generation,informal_only,230.0,55.6,45.5
1988,migration,no migration background,any,3994.3,2198.5,37.8
1988,migration,no migration background,formal,3994.3,1161.3,21.1
1988,migration,no migration background,informal,3994.3,1524.1,28.2
1988,migration,no migration background,both_formal_informal,3994.3,598.8,19.6
1988,migration,no migration background,formal_only,3994.3,581.0,18.7
1988,migration,no migration background,informal_only,3994.3,979.6,31.4
1988,employment,employed,any,2688.8,1459.8,38.8
1988,employment,employed,formal,2688.8,839.0,20.8
1988,employment,employed,informal,2688.8,1064.8,27.3
1988,employment,employed,both_formal_informal,2688.8,420.0,19.7
1988,employment,employed,formal_only,2688.8,396.2,19.1
1988,employment,employed,informal_only,2688.8,681.9,30.9
1988,employment,household leader,any,288.1,137.8,34.2
1988,employment,household leader,formal,288.1,63.6,15.6
1988,employment,household leader,informal,288.1,103.0,25.8
1988,employment,household leader,both_formal_informal,288.1,30.1,14.6
1988,employment,household leader,formal_only,288.1,35.1,17.5
1988,employment,household leader,informal_only,288.1,74.2,37.7
1988,employment,in training,any,415.6,210.7,37.3
1988,employment,in training,formal,415.6,117.7,19.4
1988,employment,in training,informal,415.6,146.1,25.1
1988,employment,in training,both_formal_informal,415.6,47.9,15.8
1988,employment,in training,formal_only,415.6,68.6,22.4
1988,employment,in training,informal_only,415.6,100.4,33.2
1988,employment,miscellaneous,any,193.3,88.7,31.4
1988,employment,miscellaneous,formal,193.3,43.5,15.6
1988,employment,miscellaneous,informal,193.3,74.0,26.9
1988,employment,miscellaneous,both_formal_informal,193.3,32.0,27.3
1988,employment,miscellaneous,formal_only,193.3,12.0,9.3
1988,employment,miscellaneous,informal_only,193.3,41.4,33.4
1988,employment,retired,any,1467.5,575.4,28.9
1988,employment,retired,formal,1467.5,290.1,14.1
1988,employment,retired,informal,1467.5,446.3,21.6
1988,employment,retired,both_formal_informal,1467.5,157.1,18.4
1988,employment,retired,formal_only,1467.5,137.1,16.6
1988,employment,retired,informal_only,1467.5,297.3,34.1
1988,employment,unemployed,any,218.4,85.0,26.3
1988,employment,unemployed,formal,218.4,22.2,7.2
1988,employment,unemployed,informal,218.4,70.5,23.4
1988,employment,unemployed,both_formal_informal,218.4,11.9,10.4
1988,employment,unemployed,formal_only,218.4,10.8,9.4
1988,employment,unemployed,informal_only,218.4,58.5,49.5
1988,occupation,auxiliary work,any,172.6,57.2,23.0
1988,occupation,auxiliary work,formal,172.6,24.7,9.4
1988,occupation,auxiliary work,informal,172.6,46.0,17.5
1988,occupation,auxiliary work,both_formal_informal,172.6,10.9,12.7
1988,occupation,auxiliary work,formal_only,172.6,13.6,16.4
1988,occupation,auxiliary work,informal_only,172.6,34.3,40.9
1988,occupation,higher job,any,570.7,355.5,43.2
1988,occupation,higher job,formal,570.7,194.8,23.7
1988,occupation,higher job,informal,570.7,259.4,30.6
1988,occupation,higher job,both_formal_informal,570.7,101.3,20.8
1988,occupation,higher job,formal_only,570.7,90.8,18.0
1988,occupation,higher job,informal_only,570.7,157.7,32.5
1988,occupation,highly qualified job,any,717.4,487.4,44.1
1988,occupation,highly qualified job,formal,717.4,291.5,27.1
1988,occupation,highly qualified job,informal,717.4,340.2,33.0
1988,occupation,highly qualified job,both_formal_informal,717.4,152.0,22.1
1988,occupation,highly qualified job,formal_only,717.4,139.2,19.7
1988,occupation,highly qualified job,informal_only,717.4,191.1,28.9
1988,occupation,middle job,any,1237.0,605.2,34.2
1988,occupation,middle job,formal,1237.0,309.1,18.3
1988,occupation,middle job,informal,1237.0,433.4,24.5
1988,occupation,middle job,both_formal_informal,1237.0,155.9,17.8
1988,occupation,middle job,formal_only,1237.0,157.9,19.4
1988,occupation,middle job,informal_only,1237.0,282.9,32.6
1988,region,Burgenland,any,177.9,84.7,33.4
1988,region,Burgenland,formal,177.9,43.4,17.1
1988,region,Burgenland,informal,177.9,59.2,23.5
1988,region,Burgenland,both_formal_informal,177.9,21.3,17.2
1988,region,Burgenland,formal_only,177.9,23.5,19.7
1988,region,Burgenland,informal_only,177.9,39.1,33.4
1988,region,Carinthia,any,341.3,169.3,35.1
1988,region,Carinthia,formal,341.3,84.3,17.4
1988,region,Carinthia,informal,341.3,128.4,26.7
1988,region,Carinthia,both_formal_informal,341.3,42.7,17.9
1988,region,Carinthia,formal_only,341.3,38.9,16.1
1988,region,Carinthia,informal_only,341.3,85.7,36.2
1988,region,Lower Austria,any,1032.8,513.3,37.1
1988,region,Lower Austria,formal,1032.8,281.2,19.7
1988,region,Lower Austria,informal,1032.8,371.6,26.4
1988,region,Lower Austria,both_formal_informal,1032.8,130.3,17.2
1988,region,Lower Austria,formal_only,1032.8,153.4,19.4
1988,region,Lower Austria,informal_only,1032.8,248.4,32.1
1988,region,Salzburg,any,334.1,172.6,38.3
1988,region,Salzburg,formal,334.1,100.0,21.1
1988,region,Salzburg,informal,334.1,124.1,26.6
1988,region,Salzburg,both_formal_informal,334.1,46.8,18.3
1988,region,Salzburg,formal_only,334.1,52.8,20.6
1988,region,Salzburg,informal_only,334.1,76.6,32.0
1988,region,Styria,any,745.5,363.9,33.5
1988,region,Styria,formal,745.5,191.1,18.1
1988,region,Styria,informal,745.5,262.9,25.1
1988,region,Styria,both_formal_informal,745.5,95.0,18.2
1988,region,Styria,formal_only,745.5,94.9,19.2
1988,region,Styria,informal_only,745.5,176.6,32.8
1988,region,Tyrol,any,439.2,246.3,39.0
1988,region,Tyrol,formal,439.2,144.7,22.6
1988,region,Tyrol,informal,439.2,176.2,27.3
1988,region,Tyrol,both_formal_informal,439.2,85.1,24.2
1988,region,Tyrol,formal_only,439.2,65.5,19.4
1988,region,Tyrol,informal_only,439.2,94.8,27.4
1988,region,Upper Austria,any,867.3,455.4,36.6
1988,region,Upper Austria,formal,867.3,267.8,21.8
1988,region,Upper Austria,informal,867.3,332.3,25.3
1988,region,Upper Austria,both_formal_informal,867.3,149.1,22.7
1988,region,Upper Austria,formal_only,867.3,123.0,19.5
1988,region,Upper Austria,informal_only,867.3,174.9,28.0
1988,region,Vienna,any,1103.7,480.3,28.6
1988,region,Vienna,formal,1103.7,177.1,11.0
1988,region,Vienna,informal,1103.7,388.6,24.2
1988,region,Vienna,both_formal_informal,1103.7,98.4,14.3
1988,region,Vienna,formal_only,1103.7,81.1,12.1
1988,region,Vienna,informal_only,1103.7,294.9,44.7
1988,region,Vorarlberg,any,229.1,124.9,37.1
1988,region,Vorarlberg,formal,229.1,71.1,21.4
1988,region,Vorarlberg,informal,229.1,87.3,26.8
1988,region,Vorarlberg,both_formal_informal,229.1,32.6,18.7
1988,region,Vorarlberg,formal_only,229.1,37.0,20.3
1988,region,Vorarlberg,informal_only,229.1,56.1,30.0
1988,municipality size classes,<= 10 000 inhabitants,any,1571.6,819.7,36.6
1988,municipality size classes,<= 10 000 inhabitants,formal,1571.6,452.0,20.1
1988,municipality size classes,<= 10 000 inhabitants,informal,1571.6,600.2,25.8
1988,municipality size classes,<= 10 000 inhabitants,both_formal_informal,1571.6,224.9,19.0
1988,municipality size classes,<= 10 000 inhabitants,formal_only,1571.6,222.9,18.9
1988,municipality size classes,<= 10 000 inhabitants,informal_only,1571.6,369.0,31.1
1988,municipality size classes,<= 100 000 inhabitants,any,886.1,434.3,35.2
1988,municipality size classes,<= 100 000 inhabitants,formal,886.1,202.1,16.1
1988,municipality size classes,<= 100 000 inhabitants,informal,886.1,321.1,25.5
1988,municipality size classes,<= 100 000 inhabitants,both_formal_informal,886.1,97.5,15.7
1988,municipality size classes,<= 100 000 inhabitants,formal_only,886.1,111.2,17.3
